region,county,product,quantity
Wales,Neath Port Talbot,Plain Greek yoghurt,3481424
Wales,Neath Port Talbot,chicken sausages,3480356
Wales,Wrexham,diced chicken breast,3479100
Wales,Neath Port Talbot,bosch washing machine,3476388
Scotland,Edinburgh City,hp dv 2000 laptop,3476288
Wales,Neath Port Talbot,Brocolli loose,3476272
Wales,Neath Port Talbot,Mixed pepper,3475668
Wales,Neath Port Talbot,unsalted butter,3475608
Scotland,Edinburgh City,vanilla yoghurt,3474868
Scotland,Edinburgh City,denim jeams,3473644
Scotland,Edinburgh City,wellington boots,3472000
Wales,Neath Port Talbot,mild cheddar cheese,3471280
Wales,Neath Port Talbot,pain au raisins,3470688
Wales,Neath Port Talbot,classic bowtie,3470404
Scotland,Edinburgh City,diced vernison,3468800
Scotland,Edinburgh City,raspberries,3467712
Scotland,Edinburgh City,british fresh chicken thigh fillets,3467412
Wales,Neath Port Talbot,wristwatch,3467256
Scotland,Edinburgh City,linen trousers,3465324
Wales,Neath Port Talbot,aubergine,3464000
Wales,Neath Port Talbot,goat cheese,3463172
Wales,Neath Port Talbot,skimmed milk,3462904
Wales,Neath Port Talbot,British carrots loose,3461224
Wales,Neath Port Talbot,wellington boots,3460804
Wales,Neath Port Talbot,21 day mature sirlion steak,3460564
Scotland,Edinburgh City,Almond milk,3460344
Wales,Neath Port Talbot,pain au chocolate,3459848
Scotland,Edinburgh City,brenton jumper,3459624
Scotland,Edinburgh City,silk scarf,3458324
Scotland,Edinburgh City,cod fillets,3457980
Scotland,Edinburgh City,british parsnips loose,3456484
Wales,Wrexham,oxford shoes,3456376
Wales,Neath Port Talbot,hp dv 3000 laptop,3455876
Scotland,Edinburgh City,Blueberry yoghurt,3455856
Wales,Neath Port Talbot,pokemon gold,3455804
Scotland,Edinburgh City,organic raspberry yoghurt,3455084
Wales,Neath Port Talbot,corned beef,3454816
Scotland,Edinburgh City,dyson washing machine,3453364
Scotland,Edinburgh City,millionaire square,3453168
Scotland,Edinburgh City,Mixed pepper,3453120
Wales,Neath Port Talbot,white shirt,3453004
Scotland,Edinburgh City,minecraft game - xbox,3452792
Scotland,Edinburgh City,celery,3452612
Scotland,Edinburgh City,croisant ,3452416
Wales,Neath Port Talbot,british bramley cooking apples,3451804
Wales,Neath Port Talbot,Organic Kefir,3451256
Scotland,Edinburgh City,pink blazers,3450428
Wales,Neath Port Talbot,custard doughnut,3449636
Wales,Neath Port Talbot,beef mince,3449580
Scotland,Edinburgh City,grey cardigan,3447780
Scotland,Edinburgh City,red velvet cake,3447736
Wales,Neath Port Talbot,celery,3447700
Wales,Neath Port Talbot,pokemon red,3447608
Wales,Neath Port Talbot,red velvet cake,3447536
Scotland,Edinburgh City,baby potatoes,3446000
Scotland,Edinburgh City,corn,3445680
Wales,Neath Port Talbot,apple macbook pro mid 2009,3445452
Scotland,Edinburgh City,beef sausages,3445320
Wales,Wrexham,brenton jumper,3444884
Wales,Neath Port Talbot,chocolate twist,3444656
Scotland,Edinburgh City,jam doughnut,3444352
Wales,Neath Port Talbot,silk tie,3444024
Wales,Wrexham,british parsnips loose,3444020
Wales,Neath Port Talbot,brenton t-shirt,3443988
Wales,Neath Port Talbot,rice,3443044
Wales,Neath Port Talbot,semi skimmed milk,3442656
Scotland,Edinburgh City,silk tie,3441960
Scotland,Edinburgh City,almond croisant,3441868
Scotland,Edinburgh City,chicken sausages,3441756
Wales,Neath Port Talbot,fine beans,3441168
Scotland,Edinburgh City,vernison sausages,3441080
Wales,Neath Port Talbot,jam doughnut,3441004
Scotland,Edinburgh City,Brocolli loose,3440780
Wales,Wrexham,dyson washing machine,3440644
Wales,Neath Port Talbot,silk scarf,3439900
Wales,Neath Port Talbot,gaming mouse,3439796
Wales,Wrexham,grey blazers,3439432
Wales,Wrexham,raspberries,3439312
Scotland,Edinburgh City,pokemon red,3438688
Wales,Wrexham,red velvet cake,3438316
Wales,Wrexham,21 day mature sirlion steak,3438316
Scotland,Edinburgh City,white shirt,3437752
Wales,Neath Port Talbot,millionaire square,3437648
Wales,Neath Port Talbot,raspberries,3437164
Wales,Neath Port Talbot,hotpoint washing machine,3436968
Scotland,Edinburgh City,corned beef,3436892
Wales,Neath Port Talbot,sea bass fillets,3436312
Scotland,Edinburgh City,flapjack,3436304
Wales,Neath Port Talbot,gaming keyboard,3435732
Wales,Neath Port Talbot,lg washing machine,3435072
Scotland,Edinburgh City,british bramley cooking apples,3435052
Wales,Neath Port Talbot,denim jeams,3434968
Wales,Wrexham,fresh whole turkey,3433764
Wales,Neath Port Talbot,plastic sunshades,3432032
Wales,Neath Port Talbot,x-box 360,3431488
Scotland,Edinburgh City,Red pepper,3431176
Wales,Neath Port Talbot,linen shirt,3430972
Scotland,Edinburgh City,organic soured cream,3430688
Scotland,Edinburgh City,dyson tower fan,3430304
Wales,Wrexham,god of war 2,3429592
Wales,Neath Port Talbot,Blueberry yoghurt,3428604
Wales,Neath Port Talbot,courgette loose,3428568
Wales,Neath Port Talbot,pokemon blue,3428284
Wales,Wrexham,easy peeler loose,3427616
Wales,Neath Port Talbot,pink blazers,3427532
Scotland,Edinburgh City,fresh whole chicken,3427168
Wales,Wrexham,british fresh turkey mince,3427120
Wales,Neath Port Talbot,god of war 2,3426556
Scotland,Edinburgh City,gaming mouse,3425000
Scotland,Edinburgh City,British baking potatoes loose,3424460
Scotland,Edinburgh City,aubergine,3424448
Scotland,Edinburgh City,british fresh chicken brest fillets,3424336
Wales,Neath Port Talbot,olive oil spread,3423444
Wales,Neath Port Talbot,baby potatoes,3422872
Scotland,Edinburgh City,olive oil spread,3422408
Wales,Neath Port Talbot,play station 3,3422212
Scotland,Edinburgh City,British carrots loose,3419988
Wales,Neath Port Talbot,gameboy color,3419856
Scotland,Edinburgh City,grey blazers,3419708
Wales,Wrexham,oxford shirt,3419304
Scotland,Edinburgh City,pain au raisins,3418980
Wales,Neath Port Talbot,british fresh chicken thigh fillets,3418852
Scotland,Edinburgh City,classic bowtie,3418812
Scotland,Edinburgh City,chocolate fudge cake,3418676
Scotland,Edinburgh City,Plain Greek yoghurt,3418576
Scotland,Edinburgh City,garlic,3418396
Wales,Neath Port Talbot,scottish salmon,3418376
Scotland,Edinburgh City,free range large eggs x12,3418320
Wales,Neath Port Talbot,british fresh chicken brest fillets,3417804
Wales,Neath Port Talbot,fresh whole chicken,3417712
Wales,Neath Port Talbot,vernison sausages,3415896
Wales,Wrexham,minecraft game - xbox,3415248
Scotland,Edinburgh City,Sweet potatoes loose,3414588
Scotland,Edinburgh City,fresh turkey steak,3414020
Wales,Neath Port Talbot,macaron - x3,3413976
Scotland,Edinburgh City,Onions Loose,3413804
Scotland,Edinburgh City,21 day mature ribeye steak,3413616
Scotland,Edinburgh City,shortbread,3413044
Wales,Neath Port Talbot,beans,3412656
Wales,Neath Port Talbot,pokemon yellow,3411344
Wales,Wrexham,British baking potatoes loose,3411336
Wales,Wrexham,British carrots loose,3410200
Scotland,Edinburgh City,apple macbook air mid 2009,3409928
Wales,Wrexham,pokemon yellow,3409864
Wales,Neath Port Talbot,dual shock controller,3409732
Wales,Neath Port Talbot,samsung washing machine,3408692
Scotland,Edinburgh City,cheese cake,3408128
Scotland,Edinburgh City,hp envy laptop,3407852
Wales,Neath Port Talbot,british parsnips loose,3407788
Wales,Neath Port Talbot,mature cheddar cheese,3407536
Wales,Wrexham,vanilla yoghurt,3407408
Wales,Wrexham,scottish salmon,3407376
Wales,Wrexham,plastic sunshades,3407244
Wales,Neath Port Talbot,beef sausages,3406424
Wales,Wrexham,goat cheese,3406092
Wales,Neath Port Talbot,diced vernison,3406080
Scotland,Edinburgh City,halo combat evolved,3405832
Scotland,Edinburgh City,hp dv 3000 laptop,3405504
Wales,Neath Port Talbot,grey blazers,3405376
Wales,Neath Port Talbot,hp envy laptop,3405016
Scotland,Edinburgh City,oxford shirt,3404812
Wales,Neath Port Talbot,Slightly salted butter,3404756
Wales,Wrexham,macaron - x3,3404376
Wales,Wrexham,bosch washing machine,3404084
Wales,Neath Port Talbot,oxford shoes,3404040
Wales,Neath Port Talbot,fresh turkey steak,3403876
Wales,Wrexham,x-box 360,3403728
Wales,Wrexham,pokemon gold,3403368
Wales,Wrexham,free range large eggs x12,3403296
Scotland,Edinburgh City,apple macbook pro mid 2009,3403152
Scotland,Edinburgh City,play station 3,3402188
Scotland,Edinburgh City,linen shirt,3402088
Wales,Neath Port Talbot,organic raspberry yoghurt,3401884
Wales,Wrexham,british fresh chicken thigh fillets,3400700
Wales,Wrexham,organic raspberry yoghurt,3399792
Scotland,Edinburgh City,brenton t-shirt,3399520
Wales,Wrexham,linen shirt,3398212
Wales,Wrexham,pain au raisins,3397984
Wales,Wrexham,beef sausages,3397844
Wales,Wrexham,gaming keyboard,3397684
Wales,Wrexham,Sweet potatoes loose,3395800
Wales,Wrexham,Organic mILK,3394696
Scotland,Edinburgh City,dell inspiron laptop,3394608
Wales,Wrexham,lg washing machine,3393740
Wales,Wrexham,cheese cake,3393380
Wales,Neath Port Talbot,free range large eggs x12,3393324
Wales,Wrexham,british bramley cooking apples,3393160
Wales,Neath Port Talbot,Oats Milk,3392860
Wales,Wrexham,almond croisant,3391748
Wales,Wrexham,silk tie,3391072
Scotland,Edinburgh City,chocolate twist,3390880
Wales,Wrexham,courgette loose,3390608
Wales,Neath Port Talbot,dyson vacuum cleaner,3390572
Wales,Wrexham,linen trousers,3390504
Wales,Wrexham,salmon fillets,3390016
Scotland,Edinburgh City,blue stilton cheese,3389124
Wales,Wrexham,chocolate twist,3388508
Scotland,Edinburgh City,salmon fillets,3388436
Wales,Neath Port Talbot,croisant ,3388380
Scotland,Edinburgh City,custard doughnut,3388340
Wales,Neath Port Talbot,corn,3387916
Wales,Wrexham,Brocolli loose,3387804
Scotland,Edinburgh City,x-box 360,3387504
Scotland,Edinburgh City,21 day mature sirlion steak,3387056
Scotland,Edinburgh City,gameboy color,3386692
Wales,Neath Port Talbot,brenton jumper,3386504
Wales,Wrexham,Almond milk,3385628
Wales,Wrexham,wristwatch,3384976
Wales,Wrexham,dyson tower fan,3384816
Wales,Wrexham,beef mince,3384780
Wales,Neath Port Talbot,Soy Milk,3384640
Wales,Wrexham,unsalted butter,3383444
Wales,Wrexham,skimmed milk,3383376
Wales,Neath Port Talbot,garlic,3382804
Scotland,Edinburgh City,Slightly salted butter,3382160
Scotland,Edinburgh City,diced chicken breast,3382124
Wales,Neath Port Talbot,easy peeler loose,3381164
Wales,Wrexham,denim jacket,3380900
Scotland,Edinburgh City,fresh whole turkey,3380376
Wales,Wrexham,beans,3379820
Scotland,Edinburgh City,Fairtrade Bananas Loose,3379328
Scotland,Edinburgh City,Oats Milk,3378784
Wales,Wrexham,rice,3378432
Scotland,Edinburgh City,semi skimmed milk,3378220
Scotland,Edinburgh City,Organic mILK,3378104
Wales,Wrexham,chicken sausages,3377680
Scotland,Edinburgh City,easy peeler loose,3377648
Wales,Neath Port Talbot,gameboy advance,3377056
Wales,Wrexham,olive oil spread,3377016
Wales,Wrexham,custard doughnut,3376936
Wales,Wrexham,Red pepper,3376832
Wales,Neath Port Talbot,dyson washing machine,3376596
Wales,Neath Port Talbot,Fairtrade Bananas Loose,3376516
Scotland,Edinburgh City,Lemon,3376180
Wales,Wrexham,21 day mature rump steak,3376028
Wales,Wrexham,Onions Loose,3375800
Scotland,Edinburgh City,mild cheddar cheese,3375756
Wales,Wrexham,dell inspiron laptop,3375636
Wales,Neath Port Talbot,Almond milk,3375352
Scotland,Edinburgh City,pain au chocolate,3374988
Wales,Neath Port Talbot,21 day mature ribeye steak,3373704
Scotland,Edinburgh City,Soy Milk,3373628
Wales,Wrexham,organic soured cream,3373516
Wales,Wrexham,blue stilton cheese,3372560
Wales,Neath Port Talbot,chocolate fudge cake,3371212
Wales,Wrexham,cod fillets,3371112
Wales,Wrexham,aubergine,3370584
Wales,Wrexham,gameboy color,3367536
Scotland,Edinburgh City,Organic Kefir,3366372
Wales,Wrexham,hp dv 3000 laptop,3365376
Wales,Wrexham,flapjack,3364556
Scotland,Edinburgh City,plastic sunshades,3363932
Wales,Wrexham,Oats Milk,3363844
Scotland,Edinburgh City,british fresh turkey mince,3363208
Wales,Wrexham,white shirt,3363148
Wales,Wrexham,pain au chocolate,3362352
Scotland,Edinburgh City,cotton tie,3362232
Wales,Wrexham,large king prawns,3362060
Wales,Wrexham,Lemon,3361852
Wales,Wrexham,garlic,3361496
Scotland,Edinburgh City,skimmed milk,3359380
Scotland,Edinburgh City,fine beans,3358712
Scotland,Edinburgh City,unsalted butter,3358544
Wales,Wrexham,british fresh chicken brest fillets,3357476
Wales,Wrexham,denim jeams,3357016
Wales,Wrexham,hotpoint washing machine,3356464
Wales,Wrexham,gameboy advance,3356344
Wales,Wrexham,pokemon red,3355960
Wales,Wrexham,apple macbook air mid 2009,3355528
Scotland,Edinburgh City,Spring onions bunch,3355172
Wales,Wrexham,classic bowtie,3354928
Scotland,Edinburgh City,large king prawns,3354892
Scotland,Edinburgh City,dyson vacuum cleaner,3354028
Wales,Wrexham,cotton tie,3353256
Scotland,Edinburgh City,scottish salmon,3353240
Scotland,Edinburgh City,21 day mature rump steak,3353156
Wales,Wrexham,shortbread,3351136
Wales,Wrexham,Mixed pepper,3349820
Wales,Wrexham,Soy Milk,3349680
Wales,Wrexham,fine beans,3349108
Scotland,Edinburgh City,bosch washing machine,3348216
Wales,Wrexham,samsung washing machine,3347280
Scotland,Edinburgh City,pokemon blue,3346484
Wales,Wrexham,apple macbook pro mid 2009,3346172
Wales,Wrexham,chocolate fudge cake,3346068
Wales,Wrexham,semi skimmed milk,3345752
Wales,Wrexham,gaming mouse,3344876
Wales,Wrexham,Organic Kefir,3344876
Scotland,Edinburgh City,gaming keyboard,3344552
Wales,Wrexham,fresh turkey steak,3343620
Wales,Wrexham,vernison sausages,3343536
Wales,Wrexham,silk scarf,3343304
Scotland,Edinburgh City,gameboy advance,3342296
Scotland,Edinburgh City,god of war 2,3340444
Scotland,Edinburgh City,mature cheddar cheese,3340440
Wales,Wrexham,Fairtrade Bananas Loose,3340152
Scotland,Edinburgh City,pokemon gold,3339600
Wales,Wrexham,corn,3337720
Wales,Neath Port Talbot,apple macbook air mid 2009,3336740
Wales,Wrexham,dyson vacuum cleaner,3335080
Wales,Wrexham,Plain Greek yoghurt,3334512
Wales,Wrexham,millionaire square,3332676
Wales,Wrexham,Slightly salted butter,3331676
Scotland,Edinburgh City,wristwatch,3330392
Wales,Wrexham,21 day mature ribeye steak,3326836
Wales,Neath Port Talbot,Red pepper,3324784
Wales,Wrexham,Blueberry yoghurt,3324776
Wales,Wrexham,baby potatoes,3323372
Scotland,Edinburgh City,pokemon yellow,3323256
Scotland,Edinburgh City,samsung washing machine,3322532
Wales,Wrexham,brenton t-shirt,3322100
Scotland,Edinburgh City,lg washing machine,3321732
Scotland,Edinburgh City,dual shock controller,3317588
Scotland,Edinburgh City,rice,3317208
Wales,Wrexham,diced vernison,3314096
Wales,Wrexham,mild cheddar cheese,3311920
Wales,Wrexham,grey cardigan,3310132
Wales,Wrexham,hp dv 2000 laptop,3308376
Wales,Wrexham,fresh whole chicken,3307500
Wales,Wrexham,pokemon blue,3307388
Scotland,Edinburgh City,macaron - x3,3307336
Wales,Wrexham,dual shock controller,3306396
Wales,Wrexham,pink blazers,3305888
Wales,Wrexham,play station 3,3305832
Wales,Wrexham,wellington boots,3304320
Wales,Wrexham,croisant ,3303596
Wales,Neath Port Talbot,linen trousers,3302000
Wales,Wrexham,mature cheddar cheese,3301000
Wales,Wrexham,hp envy laptop,3298512
Wales,Wrexham,corned beef,3296688
Wales,Wrexham,Spring onions bunch,3294484
Scotland,Edinburgh City,beef mince,3284572
Wales,Wrexham,jam doughnut,3283480
Wales,Wrexham,celery,3280620
Wales,Wrexham,halo combat evolved,3239004
Yorkshire and the Humber,North Yorkshire,21 day mature rump steak,2071268
Yorkshire and the Humber,North Yorkshire,gameboy color,2069931
Yorkshire and the Humber,North Yorkshire,corned beef,2066254
Yorkshire and the Humber,North Yorkshire,british bramley cooking apples,2066239
Yorkshire and the Humber,North Yorkshire,diced vernison,2059728
Yorkshire and the Humber,North Yorkshire,Fairtrade Bananas Loose,2059000
Yorkshire and the Humber,North Yorkshire,classic bowtie,2056736
Yorkshire and the Humber,North Yorkshire,apple macbook pro mid 2009,2053968
Yorkshire and the Humber,North Yorkshire,Brocolli loose,2052238
Yorkshire and the Humber,North Yorkshire,sea bass fillets,2051307
Yorkshire and the Humber,North Yorkshire,British carrots loose,2049610
Yorkshire and the Humber,North Yorkshire,minecraft game - xbox,2049485
Yorkshire and the Humber,North Yorkshire,Onions Loose,2048926
Yorkshire and the Humber,North Yorkshire,cheese cake,2048175
Yorkshire and the Humber,North Yorkshire,cotton tie,2047050
Yorkshire and the Humber,North Yorkshire,Almond milk,2047018
Yorkshire and the Humber,North Yorkshire,celery,2045155
Yorkshire and the Humber,North Yorkshire,hp dv 2000 laptop,2044182
Yorkshire and the Humber,North Yorkshire,denim jeams,2042835
Yorkshire and the Humber,North Yorkshire,raspberries,2042581
Yorkshire and the Humber,North Yorkshire,Plain Greek yoghurt,2042270
Yorkshire and the Humber,North Yorkshire,corn,2041607
Yorkshire and the Humber,North Yorkshire,Lemon,2041476
Yorkshire and the Humber,North Yorkshire,semi skimmed milk,2041462
Yorkshire and the Humber,North Yorkshire,chocolate fudge cake,2041162
Yorkshire and the Humber,North Yorkshire,Slightly salted butter,2041128
Yorkshire and the Humber,North Yorkshire,gaming mouse,2040188
Yorkshire and the Humber,North Yorkshire,god of war 2,2040013
Yorkshire and the Humber,North Yorkshire,vanilla yoghurt,2039645
Yorkshire and the Humber,North Yorkshire,grey blazers,2039531
Yorkshire and the Humber,North Yorkshire,Oats Milk,2039079
Yorkshire and the Humber,North Yorkshire,blue stilton cheese,2039032
Yorkshire and the Humber,North Yorkshire,Organic mILK,2038264
Yorkshire and the Humber,North Yorkshire,British baking potatoes loose,2038254
Yorkshire and the Humber,North Yorkshire,pokemon blue,2036931
Yorkshire and the Humber,North Yorkshire,gaming keyboard,2036224
Yorkshire and the Humber,North Yorkshire,cod fillets,2036065
Yorkshire and the Humber,North Yorkshire,fresh turkey steak,2035638
Yorkshire and the Humber,North Yorkshire,plastic sunshades,2035275
Yorkshire and the Humber,North Yorkshire,wristwatch,2035001
Yorkshire and the Humber,North Yorkshire,hotpoint washing machine,2033640
Yorkshire and the Humber,North Yorkshire,Soy Milk,2033496
Yorkshire and the Humber,North Yorkshire,beans,2032643
Yorkshire and the Humber,North Yorkshire,silk tie,2031840
Yorkshire and the Humber,North Yorkshire,brenton jumper,2031542
Yorkshire and the Humber,North Yorkshire,fresh whole chicken,2031359
Yorkshire and the Humber,North Yorkshire,garlic,2031194
Yorkshire and the Humber,North Yorkshire,hp envy laptop,2030588
Yorkshire and the Humber,North Yorkshire,Blueberry yoghurt,2030122
Yorkshire and the Humber,North Yorkshire,large king prawns,2030036
Yorkshire and the Humber,North Yorkshire,silk scarf,2029574
Yorkshire and the Humber,North Yorkshire,organic raspberry yoghurt,2029462
Yorkshire and the Humber,North Yorkshire,apple macbook air mid 2009,2029377
Yorkshire and the Humber,North Yorkshire,british fresh turkey mince,2028542
Yorkshire and the Humber,North Yorkshire,Mixed pepper,2028533
Yorkshire and the Humber,North Yorkshire,gameboy advance,2028415
Yorkshire and the Humber,North Yorkshire,dyson washing machine,2026930
Yorkshire and the Humber,North Yorkshire,british fresh chicken brest fillets,2026841
Yorkshire and the Humber,North Yorkshire,red velvet cake,2026723
Yorkshire and the Humber,North Yorkshire,scottish salmon,2026655
Yorkshire and the Humber,North Yorkshire,diced chicken breast,2026578
Yorkshire and the Humber,North Yorkshire,millionaire square,2026560
Yorkshire and the Humber,North Yorkshire,dyson tower fan,2025997
Yorkshire and the Humber,North Yorkshire,organic soured cream,2025858
Yorkshire and the Humber,North Yorkshire,fresh whole turkey,2025812
Yorkshire and the Humber,North Yorkshire,mild cheddar cheese,2025763
Yorkshire and the Humber,North Yorkshire,salmon fillets,2025356
Yorkshire and the Humber,North Yorkshire,almond croisant,2025322
Yorkshire and the Humber,North Yorkshire,beef mince,2024612
Yorkshire and the Humber,North Yorkshire,21 day mature ribeye steak,2024237
Yorkshire and the Humber,North Yorkshire,pain au raisins,2023667
Yorkshire and the Humber,North Yorkshire,mature cheddar cheese,2023120
Yorkshire and the Humber,North Yorkshire,beef sausages,2022997
Yorkshire and the Humber,North Yorkshire,hp dv 3000 laptop,2022939
Yorkshire and the Humber,North Yorkshire,baby potatoes,2022922
Yorkshire and the Humber,North Yorkshire,chicken sausages,2022553
Yorkshire and the Humber,North Yorkshire,pain au chocolate,2022330
Yorkshire and the Humber,North Yorkshire,aubergine,2022300
Yorkshire and the Humber,North Yorkshire,dyson vacuum cleaner,2021751
Yorkshire and the Humber,North Yorkshire,white shirt,2021740
Yorkshire and the Humber,North Yorkshire,21 day mature sirlion steak,2020992
Yorkshire and the Humber,North Yorkshire,bosch washing machine,2020473
Yorkshire and the Humber,North Yorkshire,free range large eggs x12,2020451
Yorkshire and the Humber,North Yorkshire,play station 3,2020217
Yorkshire and the Humber,North Yorkshire,dell inspiron laptop,2020134
Yorkshire and the Humber,North Yorkshire,custard doughnut,2020006
Yorkshire and the Humber,North Yorkshire,pokemon red,2020005
Yorkshire and the Humber,North Yorkshire,jam doughnut,2019601
Yorkshire and the Humber,North Yorkshire,fine beans,2019376
Yorkshire and the Humber,North Yorkshire,brenton t-shirt,2019283
Yorkshire and the Humber,North Yorkshire,pink blazers,2018854
Yorkshire and the Humber,North Yorkshire,shortbread,2018464
Yorkshire and the Humber,North Yorkshire,denim jacket,2017627
Yorkshire and the Humber,North Yorkshire,linen trousers,2016994
Yorkshire and the Humber,North Yorkshire,grey cardigan,2016491
Yorkshire and the Humber,North Yorkshire,unsalted butter,2015891
Yorkshire and the Humber,North Yorkshire,linen shirt,2015562
Yorkshire and the Humber,North Yorkshire,british fresh chicken thigh fillets,2014295
Yorkshire and the Humber,North Yorkshire,easy peeler loose,2014002
Yorkshire and the Humber,North Yorkshire,x-box 360,2013532
Yorkshire and the Humber,North Yorkshire,pokemon gold,2012030
Yorkshire and the Humber,North Yorkshire,croisant ,2011996
Yorkshire and the Humber,North Yorkshire,olive oil spread,2009835
Yorkshire and the Humber,North Yorkshire,halo combat evolved,2009313
Yorkshire and the Humber,North Yorkshire,Organic Kefir,2008771
Yorkshire and the Humber,North Yorkshire,vernison sausages,2008359
Yorkshire and the Humber,North Yorkshire,oxford shoes,2008110
Yorkshire and the Humber,North Yorkshire,courgette loose,2006702
Yorkshire and the Humber,North Yorkshire,pokemon yellow,2006058
Yorkshire and the Humber,North Yorkshire,rice,2004286
Yorkshire and the Humber,North Yorkshire,oxford shirt,2003039
Yorkshire and the Humber,North Yorkshire,goat cheese,2002047
Yorkshire and the Humber,North Yorkshire,skimmed milk,2000894
Yorkshire and the Humber,North Yorkshire,samsung washing machine,2000422
Yorkshire and the Humber,North Yorkshire,chocolate twist,2000399
Yorkshire and the Humber,North Yorkshire,lg washing machine,1996801
Yorkshire and the Humber,North Yorkshire,Spring onions bunch,1995817
Yorkshire and the Humber,North Yorkshire,macaron - x3,1992892
Yorkshire and the Humber,North Yorkshire,dual shock controller,1991982
Yorkshire and the Humber,North Yorkshire,wellington boots,1991106
Yorkshire and the Humber,North Yorkshire,flapjack,1986733
Yorkshire and the Humber,North Yorkshire,Sweet potatoes loose,1985353
Yorkshire and the Humber,North Yorkshire,british parsnips loose,1971964
Yorkshire and the Humber,North Yorkshire,Red pepper,1969885
East Midlands,Bassetlaw,almond croisant,1100943
Wales,Flintshire,fresh whole chicken,1097635
Wales,Flintshire,croisant ,1094740
East Midlands,Lincoln,fine beans,1093834
South West England,Forest of Dean,cod fillets,1093276
East Midlands,Lincoln,dell inspiron laptop,1092926
East Midlands,Lincoln,Onions Loose,1092745
Wales,Flintshire,sea bass fillets,1092301
Wales,Flintshire,wristwatch,1091494
North East England,Tyne and Wear,pokemon blue,1091294
Wales,Flintshire,custard doughnut,1090912
West Midlands,Stoke-on-Trent,mature cheddar cheese,1090179
Wales,Flintshire,gaming keyboard,1089989
Wales,Flintshire,pokemon blue,1089516
East Midlands,South Northamptonshire,aubergine,1089389
East Midlands,South Northamptonshire,jam doughnut,1089145
Wales,Swansea,diced vernison,1089051
East Midlands,South Northamptonshire,plastic sunshades,1089025
North East England,Tyne and Wear,21 day mature ribeye steak,1088755
West Midlands,Stoke-on-Trent,british bramley cooking apples,1088382
North West England,Wyre,red velvet cake,1088300
Wales,Flintshire,vernison sausages,1087908
Wales,Flintshire,pokemon gold,1087829
Wales,Flintshire,brenton jumper,1087770
North West England,Fylde,grey cardigan,1087692
Wales,Flintshire,Mixed pepper,1087596
Yorkshire and the Humber,Richmondshire,croisant ,1087503
South East England,Epsom and Ewell,cotton tie,1087363
East Midlands,South Northamptonshire,beef mince,1086928
East Midlands,Lincoln,large king prawns,1086815
East of England,Castle Point,21 day mature ribeye steak,1086557
North West England,Wyre,gameboy advance,1086440
East Midlands,Lincoln,samsung washing machine,1086413
North West England,Wyre,semi skimmed milk,1086315
Wales,Flintshire,chicken sausages,1086259
West Midlands,Staffordshire,Almond milk,1086202
Wales,Flintshire,Spring onions bunch,1085796
West Midlands,Staffordshire,hp dv 3000 laptop,1084916
Yorkshire and the Humber,Richmondshire,beef mince,1084693
East Midlands,Lincoln,Sweet potatoes loose,1084408
East Midlands,Bassetlaw,minecraft game - xbox,1084051
Wales,Flintshire,Fairtrade Bananas Loose,1083914
East Midlands,Bassetlaw,millionaire square,1083880
Yorkshire and the Humber,Richmondshire,mild cheddar cheese,1083307
East Midlands,South Northamptonshire,chicken sausages,1083296
Scotland,North Ayrshire,aubergine,1083103
East Midlands,Lincoln,Organic Kefir,1082960
East Midlands,South Northamptonshire,lg washing machine,1082941
Wales,Flintshire,cod fillets,1082928
East Midlands,South Northamptonshire,Almond milk,1082877
West Midlands,Staffordshire,easy peeler loose,1082863
East Midlands,Lincoln,chocolate twist,1082840
East Midlands,Bassetlaw,garlic,1082691
Yorkshire and the Humber,Richmondshire,pokemon yellow,1082676
Scotland,North Ayrshire,oxford shoes,1082638
Wales,Flintshire,scottish salmon,1082483
Wales,Flintshire,pink blazers,1082464
South West England,Dorset,macaron - x3,1082275
Scotland,North Ayrshire,brenton jumper,1082262
South East England,Epsom and Ewell,semi skimmed milk,1082235
West Midlands,Staffordshire,Organic mILK,1082107
East Midlands,Lincoln,semi skimmed milk,1082072
Yorkshire and the Humber,Richmondshire,british parsnips loose,1081835
Scotland,North Ayrshire,21 day mature rump steak,1081459
East Midlands,Lincoln,hotpoint washing machine,1081395
Wales,Flintshire,gameboy advance,1081316
East Midlands,South Northamptonshire,garlic,1081251
Wales,Flintshire,shortbread,1081226
East Midlands,Bassetlaw,organic soured cream,1081196
West Midlands,Stoke-on-Trent,british fresh turkey mince,1081126
Yorkshire and the Humber,Richmondshire,corned beef,1081017
West Midlands,Stoke-on-Trent,dyson washing machine,1081016
Wales,Flintshire,raspberries,1080879
North West England,Sefton,Lemon,1080721
West Midlands,Stoke-on-Trent,Sweet potatoes loose,1080637
East Midlands,Lincoln,pink blazers,1080634
North West England,Fylde,linen trousers,1080612
Wales,Flintshire,corn,1080595
London,Lambeth,shortbread,1080571
Wales,Flintshire,hp dv 2000 laptop,1080555
North West England,Wyre,hotpoint washing machine,1080548
South East England,Epsom and Ewell,custard doughnut,1080532
West Midlands,Stoke-on-Trent,dyson vacuum cleaner,1080419
East Midlands,Lincoln,oxford shirt,1080391
North East England,Tyne and Wear,goat cheese,1080378
Wales,Flintshire,mature cheddar cheese,1080351
North West England,Cheshire East,chocolate twist,1080339
